category,count
MALICIOUS_CODE,879
BAD_PRACTICE,321
STYLE,156
CORRECTNESS,123
PERFORMANCE,53
MT_CORRECTNESS,48
EXPERIMENTAL,40
I18N,39
SECURITY,22
