Project,Precision,Precision (dummy),Recall,Recall (dummy),F1,F1 (dummy),AUC,AUC (dummy)
cassandra,0.8181818181818182,0.2647058823529412,1.0,1.0,0.9,0.4186046511627907,0.991111111111111,0.5
commons,0.6923076923076923,0.14473684210526316,0.8181818181818182,1.0,0.7500000000000001,0.2528735632183908,0.9664335664335664,0.5
derby,1.0,0.16326530612244897,0.9375,1.0,0.967741935483871,0.2807017543859649,0.9733231707317074,0.5
jmeter,1.0,0.07692307692307693,1.0,1.0,1.0,0.14285714285714288,1.0,0.5
lucene-solr,0.9354838709677419,0.361323155216285,0.8169014084507042,1.0,0.8721804511278196,0.5308411214953271,0.9805566466528253,0.5
maven,0.7857142857142857,0.13414634146341464,1.0,1.0,0.88,0.23655913978494622,0.9974391805377721,0.5
phoenix,0.7230769230769231,0.22429906542056074,0.9791666666666666,1.0,0.831858407079646,0.366412213740458,0.9868222891566265,0.5
tomcat,0.9,0.5373134328358209,1.0,1.0,0.9473684210526316,0.6990291262135923,0.9982078853046595,0.5
Average,0.8568455737810576,0.23833913780497643,0.9439687366623987,1.0,0.8936436518429961,0.3659848391073266,0.9867367312410336,0.5
