Project,Precision,Precision (dummy),Recall,Recall (dummy),F1,F1 (dummy),AUC,AUC (dummy)
cassandra,0.25,0.2647058823529412,0.3333333333333333,1.0,0.28571428571428575,0.4186046511627907,0.5377777777777777,0.5
commons,0.14285714285714285,0.14473684210526316,0.09090909090909091,1.0,0.1111111111111111,0.2528735632183908,0.4937062937062937,0.5
derby,0.19607843137254902,0.16326530612244897,0.625,1.0,0.29850746268656714,0.2807017543859649,0.59375,0.5
jmeter,0.14285714285714285,0.07692307692307693,1.0,1.0,0.25,0.14285714285714288,1.0,0.5
lucene-solr,0.41509433962264153,0.361323155216285,0.15492957746478872,1.0,0.22564102564102562,0.5308411214953271,0.6221592503226531,0.5
maven,0.12727272727272726,0.13414634146341464,0.6363636363636364,1.0,0.2121212121212121,0.23655913978494622,0.4737516005121639,0.5
phoenix,0.2702702702702703,0.22429906542056074,0.8333333333333334,1.0,0.4081632653061225,0.366412213740458,0.639683734939759,0.5
tomcat,0.5471698113207547,0.5373134328358209,0.8055555555555556,1.0,0.651685393258427,0.6990291262135923,0.3870967741935484,0.5
Average,0.2614499831966536,0.23833913780497643,0.5599280658699672,1.0,0.3053679694798439,0.3659848391073266,0.5934906789315244,0.5
