Project,Precision,Recall,F1
ant,0.9166666666666666,0.6111111111111112,0.7333333333333334
cassandra,0.7657992565055762,0.5786516853932584,0.6592
commons,0.8695652173913043,0.47619047619047616,0.6153846153846153
derby,0.8165137614678899,0.7355371900826446,0.7739130434782608
jmeter,0.9689922480620154,0.8620689655172413,0.9124087591240875
lucene-solr,0.9001814882032668,0.8493150684931506,0.8740088105726871
maven,0.7096774193548387,0.7857142857142857,0.7457627118644068
phoenix,0.8978102189781022,0.717201166180758,0.7974068071312803
tomcat,0.9240924092409241,0.8588957055214724,0.890302066772655
Average,0.8632554095411761,0.7194095171338222,0.777968905295703
