Project,F1,F1 (dummy),AUC,AUC (dummy)
flink,0.6405867970660145,0.8203592814371258,0.7899116745130221,0.5
jenkins,0.5408805031446541,0.5465116279069768,0.5649284718433654,0.5
kafka,0.6435801811401172,0.7263115087433917,0.5781416132408412,0.5
kudu,0.2009132420091324,0.20491803278688525,0.6742268041237115,0.5
undertow,0,0.1724137931034483,0.4416666666666667,0.5
xmlgraphics-fop,0.1694915254237288,0.1694915254237288,0.5959183673469388,0.5
zookeeper,0.3508771929824561,0.2978723404255319,0.8682058682058682,0.5
Average,0.36376134882372896,0.41969687283244134,0.6447142094200592,0.5
