Project,F1,F1 (dummy),AUC,AUC (dummy)
ant,0.13333333333333333,0.6,0.48148148148148145,0.5
cassandra,0.6069142125480153,0.631055900621118,0.4061613510432408,0.5
commons,1.0,0.6666666666666666,1.0,0.5
derby,0.5806451612903225,0.7396907216494846,0.4619829578776693,0.5
jmeter,0.12121212121212122,0.2727272727272727,0.39583333333333337,0.5
lucene-solr,0.5791855203619909,0.6572008113590264,0.5706163099325492,0.5
maven,0.2676056338028169,0.2774566473988439,0.43866666666666665,0.5
tomcat,0.5092250922509225,0.5650793650793651,0.4738374477159026,0.5
Average,0.4747651343499403,0.5512346731877221,0.5285724435063555,0.5
