Project,Precision,Precision (dummy),Recall,Recall (dummy),F1,F1 (dummy),AUC,AUC (dummy)
ant,0.0,0.42857142857142855,0.0,1.0,0,0.6,0.32407407407407407,0.5
cassandra,0.4185606060606061,0.4283121597096189,0.9364406779661016,1.0,0.5785340314136126,0.5997458703939009,0.48088848533763784,0.5
commons,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5
derby,0.7099697885196374,0.6625766871165644,0.7253086419753086,1.0,0.7175572519083969,0.7970479704797048,0.517831088664422,0.5
jmeter,0.9090909090909091,0.9122807017543859,0.5769230769230769,1.0,0.7058823529411764,0.9541284403669724,0.5192307692307692,0.5
lucene-solr,0.6823734729493892,0.6717019133937563,0.5862068965517241,1.0,0.6306451612903226,0.8036144578313253,0.5310370121687622,0.5
maven,0.16101694915254236,0.1610738255033557,0.7916666666666666,1.0,0.2676056338028169,0.2774566473988439,0.43833333333333335,0.5
tomcat,0.5307262569832403,0.5221238938053098,0.8050847457627118,1.0,0.6397306397306398,0.686046511627907,0.544373822975518,0.5
Average,0.5514672478445406,0.5358300762318025,0.6777038382306988,1.0,0.5674943838858707,0.6730883205956651,0.5444710732230646,0.5
