Project,F1,F1 (dummy),AUC,AUC (dummy)
ant,0,0.3846153846153846,0.425,0.5
cassandra,0.5582655826558266,0.5853658536585366,0.5189356906197382,0.5
commons,1.0,0.6666666666666666,1.0,0.5
derby,0.06360424028268552,0.1753731343283582,0.33141186098007125,0.5
jmeter,0.12903225806451613,0.16129032258064516,0.5807692307692307,0.5
lucene-solr,0.5590312815338042,0.6150627615062761,0.5806313467415953,0.5
maven,0.25196850393700787,0.28735632183908044,0.40838709677419355,0.5
tomcat,0.536764705882353,0.5875,0.5118874919406835,0.5
Average,0.38733332154452416,0.4329038056493684,0.544627839728189,0.5
