category,count
MT_CORRECTNESS,763
MALICIOUS_CODE,589
BAD_PRACTICE,501
STYLE,461
PERFORMANCE,127
EXPERIMENTAL,100
CORRECTNESS,95
I18N,52
SECURITY,9
