category,count
MALICIOUS_CODE,1035
BAD_PRACTICE,354
STYLE,174
CORRECTNESS,125
MT_CORRECTNESS,72
EXPERIMENTAL,46
PERFORMANCE,45
I18N,22
SECURITY,14
