category,count
MALICIOUS_CODE,1275
MT_CORRECTNESS,763
BAD_PRACTICE,296
STYLE,140
I18N,42
PERFORMANCE,34
CORRECTNESS,16
SECURITY,5
EXPERIMENTAL,3
