category,count
MT_CORRECTNESS,755
MALICIOUS_CODE,572
BAD_PRACTICE,508
STYLE,452
PERFORMANCE,383
CORRECTNESS,98
EXPERIMENTAL,91
I18N,49
SECURITY,11
