category,count
MT_CORRECTNESS,763
MALICIOUS_CODE,588
BAD_PRACTICE,497
STYLE,457
PERFORMANCE,127
EXPERIMENTAL,98
CORRECTNESS,95
I18N,49
SECURITY,9
