category,count
MALICIOUS_CODE,827
MT_CORRECTNESS,757
STYLE,499
BAD_PRACTICE,482
PERFORMANCE,417
CORRECTNESS,103
EXPERIMENTAL,80
I18N,49
SECURITY,7
