category,count
MALICIOUS_CODE,955
BAD_PRACTICE,324
STYLE,150
CORRECTNESS,109
MT_CORRECTNESS,60
PERFORMANCE,42
EXPERIMENTAL,42
I18N,16
SECURITY,12
