category,count
MT_CORRECTNESS,763
MALICIOUS_CODE,580
BAD_PRACTICE,506
STYLE,461
PERFORMANCE,152
EXPERIMENTAL,97
CORRECTNESS,95
I18N,52
SECURITY,13
