class,method,count
org.apache.maven.settings.RepositoryBase,equals,2
org.apache.maven.toolchain.model.io.xpp3.MavenToolchainsXpp3Reader,parsePersistedToolchains,2
org.apache.maven.usability.plugin.ExpressionDocumenter,load,2
org.apache.maven.DefaultArtifactFilterManager,&lt;init&gt;,1
org.apache.maven.DefaultMaven,validateLocalRepository,1
org.apache.maven.DuplicateProjectException,getCollisions,1
org.apache.maven.artifact.DefaultArtifact,setOptional,1
org.apache.maven.artifact.DefaultArtifact,setRelease,1
org.apache.maven.artifact.DefaultArtifact,getAvailableVersions,1
org.apache.maven.artifact.DefaultArtifact,getDependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,getRepository,1
org.apache.maven.artifact.DefaultArtifact,setAvailableVersions,1
org.apache.maven.artifact.DefaultArtifact,setDependencyTrail,1
org.apache.maven.artifact.DefaultArtifact,setRepository,1
org.apache.maven.artifact.handler.DefaultArtifactHandler,NOVALUE,1
org.apache.maven.artifact.manager.DefaultWagonManager,NOVALUE,1
org.apache.maven.artifact.manager.WagonConfigurationException,NOVALUE,1
org.apache.maven.artifact.manager.WagonManager,NOVALUE,1
org.apache.maven.artifact.metadata.AbstractArtifactMetadata,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadata,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadataRetrievalException,NOVALUE,1
org.apache.maven.artifact.metadata.ArtifactMetadataSource,NOVALUE,1
org.apache.maven.artifact.metadata.ResolutionGroup,NOVALUE,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getAuthentication,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getProxy,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getReleases,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,getSnapshots,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,setAuthentication,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,setProxy,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,setReleaseUpdatePolicy,1
org.apache.maven.artifact.repository.DefaultArtifactRepository,setSnapshotUpdatePolicy,1
org.apache.maven.artifact.repository.DefaultRepositoryRequest,getLocalRepository,1
org.apache.maven.artifact.repository.DefaultRepositoryRequest,getRemoteRepositories,1
org.apache.maven.artifact.repository.DefaultRepositoryRequest,setLocalRepository,1
org.apache.maven.artifact.repository.DefaultRepositoryRequest,setRemoteRepositories,1
