Project,F1,F1 (dummy),AUC,AUC (dummy)
ant,0,0.5714285714285715,0.5740740740740741,0.5
cassandra,0.6666666666666666,0.6,0.3333333333333333,0.5
commons,0.64,0.787878787878788,0.5164835164835165,0.5
derby,0.11764705882352941,0.4210526315789474,0.6388888888888888,0.5
jmeter,0.25,0.631578947368421,0.3571428571428571,0.5
lucene-solr,0.6250000000000001,0.56,0.7012987012987013,0.5
tomcat,0.39999999999999997,0.5690376569037656,0.41244288977727017,0.5
Average,0.38561624649859944,0.5915680850226419,0.5048091801426631,0.5
