Dataset,F1,F1 (dummy),AUC,AUC (dummy)
Original dataset,0.39,0.43,0.54,0.50
	- unconfirmed actionable warnings,0.38561624649859944,0.5915680850226419,0.5048091801426631,0.5
Projects using Findbugs,0.36376134882372896,0.41969687283244134,0.6447142094200592,0.5
	- unconfirmed false alarms,0.42267710826110133,0.4301351683196855,0.6295073528086336,0.5
