class,count
org.apache.cassandra.db.lifecycle.View,3
org.apache.cassandra.db.marshal.ListType,3
org.apache.cassandra.db.rows.BTreeRow,3
org.apache.cassandra.db.rows.BufferCell,3
org.apache.cassandra.db.rows.Row$Deletion,3
org.apache.cassandra.db.rows.RowAndDeletionMergeIterator,3
org.apache.cassandra.db.streaming.CassandraEntireSSTableStreamReader,3
org.apache.cassandra.db.streaming.CassandraStreamReceiver,3
org.apache.cassandra.db.streaming.CassandraStreamWriter,3
org.apache.cassandra.dht.BootStrapper,3
org.apache.cassandra.dht.LocalPartitioner,3
org.apache.cassandra.diag.DiagnosticEventService,3
org.apache.cassandra.gms.ArrivalWindow,3
org.apache.cassandra.gms.Gossiper,3
org.apache.cassandra.gms.VersionedValue,3
org.apache.cassandra.hadoop.cql3.CqlBulkRecordWriter,3
org.apache.cassandra.index.sasi.analyzer.NonTokenizingAnalyzer,3
org.apache.cassandra.index.sasi.analyzer.StandardAnalyzer,3
org.apache.cassandra.index.sasi.conf.ColumnIndex,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree,3
org.apache.cassandra.index.sasi.conf.view.RangeTermTree$Term,3
org.apache.cassandra.index.sasi.disk.PerSSTableIndexWriter,3
org.apache.cassandra.index.sasi.utils.MappedBuffer,3
org.apache.cassandra.index.sasi.utils.RangeIterator,3
org.apache.cassandra.index.sasi.utils.trie.AbstractPatriciaTrie,3
org.apache.cassandra.io.compress.CompressionMetadata,3
org.apache.cassandra.io.sstable.IndexSummaryBuilder,3
org.apache.cassandra.io.sstable.SSTable,3
org.apache.cassandra.io.sstable.format.big.BigTableZeroCopyWriter,3
org.apache.cassandra.io.util.MmappedRegions,3
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaList,3
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,3
org.apache.cassandra.locator.CloudstackSnitch,3
org.apache.cassandra.locator.ReplicationFactor,3
org.apache.cassandra.repair.consistent.LocalSessions,3
org.apache.cassandra.repair.consistent.SyncStatSummary,3
org.apache.cassandra.security.JKSKeyProvider,3
org.apache.cassandra.service.reads.ReadCallback,3
org.apache.cassandra.service.reads.ResponseResolver,3
org.apache.cassandra.service.reads.repair.RowIteratorMergeListener,3
org.apache.cassandra.streaming.messages.StreamMessageHeader,3
org.apache.cassandra.tools.BulkLoader$ProgressIndicator,3
org.apache.cassandra.tools.SSTableMetadataViewer,3
org.apache.cassandra.tools.nodetool.stats.StatsTable,3
org.apache.cassandra.transport.Connection,3
org.apache.cassandra.utils.MerkleTree,3
org.apache.cassandra.utils.MerkleTrees,3
org.apache.cassandra.utils.UUIDGen,3
org.apache.cassandra.utils.concurrent.Ref$Visitor,3
org.apache.cassandra.batchlog.BatchlogManager,2
org.apache.cassandra.config.Config,2
org.apache.cassandra.cql3.CQL3Type$Collection,2
org.apache.cassandra.cql3.CQL3Type$Custom,2
org.apache.cassandra.cql3.Cql_Lexer,2
org.apache.cassandra.cql3.Cql_Lexer$DFA45,2
org.apache.cassandra.cql3.Cql_Parser$DFA11,2
org.apache.cassandra.cql3.Cql_Parser$DFA2,2
org.apache.cassandra.cql3.Cql_Parser$DFA22,2
org.apache.cassandra.cql3.MultiColumnRelation,2
org.apache.cassandra.cql3.Operations,2
org.apache.cassandra.cql3.QueryProcessor,2
org.apache.cassandra.cql3.Tuples$InValue,2
org.apache.cassandra.cql3.UserTypes$DelayedValue,2
org.apache.cassandra.cql3.VariableSpecifications,2
org.apache.cassandra.cql3.functions.AbstractFunction,2
org.apache.cassandra.cql3.functions.types.utils.Bytes,2
org.apache.cassandra.cql3.restrictions.IndexRestrictions,2
org.apache.cassandra.cql3.restrictions.MultiColumnRestriction,2
org.apache.cassandra.cql3.restrictions.StatementRestrictions,2
org.apache.cassandra.cql3.restrictions.TokenRestriction,2
org.apache.cassandra.cql3.selection.ResultSetBuilder,2
org.apache.cassandra.cql3.selection.Selection,2
org.apache.cassandra.cql3.selection.TermSelector,2
org.apache.cassandra.cql3.statements.UpdateStatement$ParsedInsert,2
org.apache.cassandra.cql3.statements.schema.AlterViewStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement,2
org.apache.cassandra.cql3.statements.schema.CreateFunctionStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateIndexStatement,2
org.apache.cassandra.cql3.statements.schema.CreateTableStatement$Raw,2
org.apache.cassandra.cql3.statements.schema.CreateTypeStatement,2
org.apache.cassandra.db.Columns,2
org.apache.cassandra.db.Directories$DataDirectoryCandidate,2
org.apache.cassandra.db.ExpirationDateOverflowHandling,2
org.apache.cassandra.db.LivenessInfo$ExpiringLivenessInfo,2
org.apache.cassandra.db.NativeClustering,2
org.apache.cassandra.db.RangeTombstone,2
org.apache.cassandra.db.RangeTombstoneList,2
org.apache.cassandra.db.ReadExecutionController,2
org.apache.cassandra.db.RegularAndStaticColumns,2
org.apache.cassandra.db.SerializationHeader,2
org.apache.cassandra.db.aggregation.GroupingState,2
org.apache.cassandra.db.columniterator.AbstractSSTableIterator,2
org.apache.cassandra.db.commitlog.AbstractCommitLogService,2
org.apache.cassandra.db.commitlog.CommitLogArchiver,2
org.apache.cassandra.db.commitlog.CommitLogPosition,2
org.apache.cassandra.db.commitlog.CommitLogSegmentReader$EncryptedSegmenter,2
org.apache.cassandra.db.compaction.AbstractCompactionStrategy,2
org.apache.cassandra.db.compaction.AbstractCompactionTask,2
org.apache.cassandra.db.compaction.CompactionIterator,2
org.apache.cassandra.db.compaction.CompactionManager,2
org.apache.cassandra.db.compaction.Verifier,2
org.apache.cassandra.db.filter.RowFilter$CustomExpression,2
org.apache.cassandra.db.filter.RowFilter$Expression$Serializer,2
org.apache.cassandra.db.marshal.CollectionType,2
org.apache.cassandra.db.partitions.AtomicBTreePartition,2
org.apache.cassandra.db.rows.BTreeRow$Builder,2
org.apache.cassandra.db.rows.ComplexColumnData,2
org.apache.cassandra.db.rows.NativeCell,2
org.apache.cassandra.db.rows.RangeTombstoneMarker$Merger,2
