category,count
MALICIOUS_CODE,1266
MT_CORRECTNESS,696
BAD_PRACTICE,316
STYLE,99
I18N,49
PERFORMANCE,31
CORRECTNESS,13
EXPERIMENTAL,4
SECURITY,2
