category,count
MALICIOUS_CODE,1274
MT_CORRECTNESS,756
BAD_PRACTICE,314
STYLE,137
I18N,48
PERFORMANCE,28
CORRECTNESS,14
SECURITY,4
EXPERIMENTAL,3
