class,count
org.apache.cassandra.db.streaming.CassandraStreamReceiver,4
org.apache.cassandra.db.tries.SlicedTrie$SlicedCursor,4
org.apache.cassandra.db.view.View,4
org.apache.cassandra.db.view.ViewBuilderTask,4
org.apache.cassandra.dht.BootStrapper,4
org.apache.cassandra.index.internal.CassandraIndex,4
org.apache.cassandra.index.internal.CollatedViewIndexBuilder,4
org.apache.cassandra.index.sai.StorageAttachedIndex,4
org.apache.cassandra.index.sai.disk.v1.MemtableIndexWriter,4
org.apache.cassandra.index.sai.disk.v1.postings.PostingsWriter,4
org.apache.cassandra.io.sstable.SSTable$Builder,4
org.apache.cassandra.io.sstable.SSTableCursorReader,4
org.apache.cassandra.io.sstable.SSTableRewriter,4
org.apache.cassandra.io.sstable.format.SSTableReader$Builder,4
org.apache.cassandra.io.sstable.format.SSTableWriter$Builder,4
org.apache.cassandra.io.sstable.format.bti.BtiTableReader$Builder,4
org.apache.cassandra.io.sstable.indexsummary.IndexSummary,4
org.apache.cassandra.io.util.File,4
org.apache.cassandra.io.util.FileOutputStreamPlus,4
org.apache.cassandra.io.util.LengthAvailableInputStream,4
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,4
org.apache.cassandra.net.ResourceLimits$EndpointAndGlobal,4
org.apache.cassandra.repair.StreamingRepairTask,4
org.apache.cassandra.repair.consistent.SyncStatSummary,4
org.apache.cassandra.repair.messages.RepairOption,4
org.apache.cassandra.service.StorageProxy,4
org.apache.cassandra.service.accord.AccordCommandStore$DurablyAppliedTo,4
org.apache.cassandra.service.accord.debug.AccordTracing$TxnEvents,4
org.apache.cassandra.service.accord.interop.AccordInteropExecution,4
org.apache.cassandra.service.accord.journal.JournalRangeIndex$Loader,4
org.apache.cassandra.service.accord.topology.AccordStaleReplicas,4
org.apache.cassandra.service.accord.txn.TxnReference$ColumnReference,4
org.apache.cassandra.service.accord.txn.TxnReferenceOperation,4
org.apache.cassandra.service.consensus.migration.ConsensusMigrationMutationHelper$SplitMutations,4
org.apache.cassandra.service.reads.ReadCallback,4
org.apache.cassandra.simulator.asm.ClassTransformer,4
org.apache.cassandra.simulator.asm.MethodLogger$Counting$1,4
org.apache.cassandra.streaming.async.StreamingMultiplexedChannel,4
org.apache.cassandra.stress.StressGraph,4
org.apache.cassandra.tcm.ClusterMetadata,4
org.apache.cassandra.tcm.ClusterMetadataService,4
org.apache.cassandra.tcm.log.LocalLog$LogSpec,4
org.apache.cassandra.tcm.membership.Directory,4
