class,method,field,count
org.apache.cassandra.index.sai.disk.v1.postings.PostingsReader,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.index.sai.disk.v1.segment.SegmentMetadata,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$StaticPrimaryKey,hashCode,NOVALUE,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$StaticPrimaryKey,toString,NOVALUE,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$WidePrimaryKey,hashCode,NOVALUE,2
org.apache.cassandra.index.sai.utils.PrimaryKey$Factory$WidePrimaryKey,toString,NOVALUE,2
org.apache.cassandra.index.sasi.conf.view.View,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.index.sasi.disk.TokenTree,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.index.sasi.plan.Expression,add,NOVALUE,2
org.apache.cassandra.index.sasi.utils.trie.PatriciaTrie$RangeEntryMap,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.sstable.Component,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.sstable.indexsummary.IndexSummaryBuilder,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.tries.ReverseValueIterator,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.DataIntegrityMetadata$ChecksumValidator,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.File,withSuffix,NOVALUE,2
org.apache.cassandra.io.util.FileInputStreamPlus,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.FileReader,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.FileWriter,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.MmappedRegions,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.TeeDataInputPlus,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.io.util.WrappedDataOutputStreamPlus,&lt;init&gt;,out,2
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,&lt;init&gt;,list,2
org.apache.cassandra.locator.CloudstackSnitch,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.locator.Ec2MultiRegionSnitch,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.locator.ReplicationFactor,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.metrics.CassandraMetricsRegistry$MetricName,&lt;init&gt;,NOVALUE,2
