category,count
MALICIOUS_CODE,1284
MT_CORRECTNESS,802
BAD_PRACTICE,302
STYLE,138
I18N,46
PERFORMANCE,31
CORRECTNESS,16
SECURITY,5
EXPERIMENTAL,3
