category,count
MT_CORRECTNESS,760
MALICIOUS_CODE,579
BAD_PRACTICE,514
STYLE,460
PERFORMANCE,382
CORRECTNESS,95
EXPERIMENTAL,91
I18N,51
SECURITY,11
