class,method,field,count
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$AddColumnRequest$Builder,clone,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest,NOVALUE,PARSER,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest$Builder,clone,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheRequest$Builder,maybeForceBuilderInitialization,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheResponse,NOVALUE,PARSER,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheResponse,&lt;init&gt;,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheResponse$Builder,clone,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearCacheResponse$Builder,maybeForceBuilderInitialization,NOVALUE,1
org.apache.phoenix.coprocessor.generated.MetaDataProtos$ClearTableFromCacheRequest,NOVALUE,PARSER,1
