category,count
MALICIOUS_CODE,792
BAD_PRACTICE,311
STYLE,150
CORRECTNESS,120
PERFORMANCE,67
MT_CORRECTNESS,47
EXPERIMENTAL,39
I18N,38
SECURITY,20
