class,method,field,count
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaList,equals,NOVALUE,2
org.apache.cassandra.locator.AbstractReplicaCollection$ReplicaMap,&lt;init&gt;,list,2
org.apache.cassandra.locator.CloudstackSnitch,csEndpointFromLease,NOVALUE,2
org.apache.cassandra.locator.Ec2Snitch,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.locator.PropertyFileSnitch,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.locator.ReplicationFactor,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.metrics.CassandraMetricsRegistry$MetricName,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.metrics.CommitLogMetrics,NOVALUE,completedTasks,2
org.apache.cassandra.metrics.CommitLogMetrics,NOVALUE,pendingTasks,2
org.apache.cassandra.metrics.CommitLogMetrics,NOVALUE,totalCommitLogSize,2
org.apache.cassandra.net.FrameEncoder$Payload,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.repair.consistent.CoordinatorSession$3,onSuccess,NOVALUE,2
org.apache.cassandra.repair.consistent.SyncStatSummary,toString,NOVALUE,2
org.apache.cassandra.schema.ColumnMetadata,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.schema.Types$RawBuilder$RawUDT,equals,NOVALUE,2
org.apache.cassandra.security.EncryptionContext,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.service.StorageService$6,compare,NOVALUE,2
org.apache.cassandra.service.paxos.PaxosState,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.tools.nodetool.DescribeCluster,execute,NOVALUE,2
org.apache.cassandra.tools.nodetool.SetConcurrency,execute,NOVALUE,2
org.apache.cassandra.tools.nodetool.Sjk$Wrapper,listFiles,NOVALUE,2
org.apache.cassandra.transport.Event$SchemaChange,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.transport.SimpleClient,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.triggers.CustomClassLoader,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.triggers.CustomClassLoader,addClassPath,NOVALUE,2
org.apache.cassandra.utils.EstimatedHistogram,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.utils.FBUtilities,getJustLocalAddress,localInetAddress,2
org.apache.cassandra.utils.FastByteOperations,compareUnsigned,NOVALUE,2
org.apache.cassandra.utils.Interval$1,compare,NOVALUE,2
org.apache.cassandra.utils.Interval$2,compare,NOVALUE,2
org.apache.cassandra.utils.MerkleTree,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.utils.MerkleTrees,&lt;init&gt;,NOVALUE,2
org.apache.cassandra.utils.memory.BufferPool$MicroQueueOfChunks,removeIf,NOVALUE,2
org.apache.cassandra.audit.AuditLogManager,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.CassandraAuthorizer,list,NOVALUE,1
org.apache.cassandra.auth.CassandraLoginModule,initialize,subject,1
org.apache.cassandra.auth.CassandraPrincipal,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.auth.CassandraRoleManager,lambda$static$0,NOVALUE,1
org.apache.cassandra.auth.JMXResource,exists,NOVALUE,1
org.apache.cassandra.auth.RoleOptions,getOptions,options,1
org.apache.cassandra.batchlog.Batch,getEncodedMutations,encodedMutations,1
org.apache.cassandra.batchlog.BatchlogManager,setRate,NOVALUE,1
org.apache.cassandra.batchlog.BatchlogManager,processBatchlogEntries,totalBatchesReplayed,1
org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.AutoSavingCache$Writer,saveCache,NOVALUE,1
org.apache.cassandra.cache.CaffeineCache,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.ChunkCache,enable,enabled,1
org.apache.cassandra.cache.ChunkCache$CachingRebufferer,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.ChunkCache$CachingRebufferer,rebuffer,NOVALUE,1
org.apache.cassandra.cache.ChunkCache$Key,equals,NOVALUE,1
org.apache.cassandra.cache.InstrumentingCache,&lt;init&gt;,map,1
org.apache.cassandra.cache.KeyCacheKey,&lt;init&gt;,NOVALUE,1
org.apache.cassandra.cache.RefCountedMemory,equals,NOVALUE,1
org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$FutureTask,run,failure,1
org.apache.cassandra.concurrent.ExecutorLocal,NOVALUE,all,1
org.apache.cassandra.concurrent.NamedThreadFactory,&lt;init&gt;,threadGroup,1
org.apache.cassandra.concurrent.SEPExecutor,getMaximumPoolSize,NOVALUE,1
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,prevStopCheck,1
org.apache.cassandra.concurrent.SEPWorker,stopSpinning,soleSpinnerSpinTime,1
org.apache.cassandra.concurrent.SEPWorker,NOVALUE,pool,1
org.apache.cassandra.config.Config,setClientMode,isClientMode,1
org.apache.cassandra.config.Config,log,NOVALUE,1
org.apache.cassandra.config.Config,&lt;init&gt;,concurrent_validations,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,counterCacheSizeInMB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,indexSummaryCapacityInMB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,keyCacheSizeInMB,1
org.apache.cassandra.config.DatabaseDescriptor,applySimpleConfig,preparedStatementsCacheSizeInMB,1
org.apache.cassandra.config.DatabaseDescriptor,clientInitialization,clientInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,daemonInitialization,daemonInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,toolInitialization,toolInitialized,1
org.apache.cassandra.config.DatabaseDescriptor,getReplaceNode,NOVALUE,1
org.apache.cassandra.config.DatabaseDescriptor,setAuthenticator,authenticator,1
org.apache.cassandra.config.DatabaseDescriptor,setAuthorizer,authorizer,1
org.apache.cassandra.config.DatabaseDescriptor,setBroadcastAddress,broadcastAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setBroadcastRpcAddress,broadcastRpcAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setListenAddress,listenAddress,1
org.apache.cassandra.config.DatabaseDescriptor,setNetworkAuthorizer,networkAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,setRoleManager,roleManager,1
org.apache.cassandra.config.DatabaseDescriptor,getAuthenticator,authenticator,1
org.apache.cassandra.config.DatabaseDescriptor,getAuthorizer,authorizer,1
org.apache.cassandra.config.DatabaseDescriptor,getBroadcastAddress,broadcastAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getBroadcastRpcAddress,broadcastRpcAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getListenAddress,listenAddress,1
org.apache.cassandra.config.DatabaseDescriptor,getNetworkAuthorizer,networkAuthorizer,1
org.apache.cassandra.config.DatabaseDescriptor,getRoleManager,roleManager,1
org.apache.cassandra.config.DatabaseDescriptor,getRpcAddress,rpcAddress,1
org.apache.cassandra.config.DatabaseDescriptor$ByteUnit,toBytes,NOVALUE,1
