category,count
MALICIOUS_CODE,1072
BAD_PRACTICE,360
STYLE,174
CORRECTNESS,127
MT_CORRECTNESS,81
PERFORMANCE,44
EXPERIMENTAL,38
I18N,22
SECURITY,14
